Investigator,,Time (s),Electrode,Amplitude (mV)
,,00011.423600,A2_22,0.012
,,00011.425600,B2_23,0.022
,,00011.425760,A2_43,0.012
,,00011.426320,A2_21,0.027
,,00011.428080,A2_66,0.024
,,00011.432320,A2_24,0.02
,,00011.439120,A2_33,0.014
,,00011.450720,A2_24,0.023
,,00011.454960,A2_21,0.021
,,00011.461200,B2_23,0.026
,,00011.474400,A2_33,0.013
,,00011.477280,A2_66,0.02
,,00011.480640,A2_33,0.013
,,00011.485280,A2_33,0.015
,,00011.486640,B2_32,0.015
,,00011.494640,A2_33,0.015
,,00011.505920,B2_23,0.02
,,00011.508000,A2_28,0.013
,,00011.514000,A2_24,0.017
,,00011.515120,A2_33,0.016
,,00011.520400,A2_33,0.016
,,00011.528800,A2_24,0.017
,,00011.531200,A2_66,0.022
,,00011.533760,A2_33,0.016
,,00011.541120,A2_33,0.015
,,00011.542320,B2_23,0.023
,,00011.554560,A2_21,0.016
,,00011.563680,A2_33,0.016
,,00011.566240,A2_33,0.018
,,00011.574720,A2_66,0.019
,,00011.588800,A2_32,0.015
,,00011.591600,A2_33,0.015
,,00011.595840,A2_33,0.013
,,00011.607520,B2_23,0.022
,,00011.613520,A2_33,0.014
,,00011.635200,A2_66,0.012
,,00011.637520,A3_21,0.013
,,00011.638880,A2_21,0.021
,,00011.647840,B2_23,0.017
,,00011.655040,A2_33,0.015
,,00011.662640,A2_33,0.015
,,00011.679040,A2_33,0.014
,,00011.685360,A2_24,0.021
,,00011.706720,A2_28,0.011
,,00011.724400,A3_21,0.013
,,00011.728640,A2_24,0.019
,,00011.743280,A2_33,0.012
,,00011.747040,A2_33,0.015
,,00011.752240,B2_43,0.011
,,00011.782800,B2_23,0.026
,,00011.801120,A2_33,0.016
,,00011.835360,B2_23,0.021
,,00011.844640,A2_33,0.013
,,00011.891360,A2_33,0.017
,,00011.905760,B2_32,0.014
,,00011.957360,A2_66,0.014
,,00011.963360,A2_33,0.012
,,00011.972160,A2_24,0.025
,,00011.979120,A2_24,0.02
,,00011.991280,A2_24,0.022
,,00011.995520,B2_23,0.023
,,00012.014000,A2_33,0.013
,,00012.041440,A2_24,0.017
,,00012.055840,B2_23,0.018
,,00012.147680,A2_33,0.012
,,00012.295040,A2_33,0.016
,,00012.296320,A2_24,0.016
,,00012.310240,A2_24,0.019
,,00012.337040,A2_24,0.02
,,00012.364480,A2_33,0.012
,,00012.371600,A2_66,0.016
,,00012.447600,A2_33,0.014
,,00012.474720,A2_33,0.015
,,00012.479840,A3_83,0.024
,,00012.514240,B2_23,0.023
,,00012.639760,A2_46,0.013
,,00012.825680,B2_23,0.026
,,00012.863600,B2_32,0.014
,,00012.880480,A2_24,0.019
,,00012.979440,B2_23,0.022
,,00013.257840,B2_32,0.018
,,00013.258960,B2_23,0.032
,,00013.296240,B2_23,0.031
,,00013.320320,A3_83,0.023
,,00013.409520,B2_32,0.017
,,00013.472080,B2_23,0.028
,,00013.529520,B2_23,0.03
,,00013.557440,B2_32,0.012
,,00013.607280,A2_21,0.026
,,00013.644320,B2_32,0.015
,,00013.706560,B2_23,0.023
,,00013.743920,B2_23,0.024
,,00013.784960,B2_23,0.027
,,00013.834160,B2_23,0.026
,,00014.001280,B2_23,0.025
,,00014.040000,B2_23,0.02
,,00014.089440,B2_32,0.015
,,00014.090480,B2_23,0.028
,,00014.137920,B2_43,0.012
,,00014.141680,B2_23,0.022
,,00014.267680,B2_23,0.024
,,00014.354160,B2_23,0.023
,,00014.449760,B2_23,0.022
,,00014.528160,B2_32,0.012
,,00014.529200,B2_23,0.021
,,00014.602960,B2_32,0.014
,,00014.604000,B2_23,0.027
,,00014.860960,B2_32,0.013
,,00014.862080,B2_23,0.024
,,00014.913280,A2_21,0.023
,,00014.917040,B2_32,0.015
,,00014.918080,B2_23,0.024
,,00015.033520,A2_46,0.017
,,00015.037040,B2_32,0.014
,,00015.038160,B2_23,0.024
,,00015.692480,A3_21,0.015
,,00016.593760,A3_31,0.017
,,00016.831360,A2_46,0.018
,,00017.082880,A2_21,0.025
,,00017.207120,A2_22,0.012
,,00017.207600,A2_11,0.018
,,00017.256240,A2_24,0.029
,,00017.281520,A2_22,0.023
,,00017.286000,A2_66,0.023
,,00017.291280,A2_24,0.019
,,00017.324080,A2_11,0.017
,,00017.326400,A2_24,0.02
,,00017.326560,A2_33,0.021
,,00017.328080,A2_22,0.014
,,00017.337920,A2_28,0.012
,,00017.347040,A2_33,0.013
,,00017.349440,A2_33,0.016
,,00017.354560,A2_66,0.017
,,00017.356240,A2_24,0.018
,,00017.358560,A2_21,0.024
,,00017.370400,A2_33,0.016
,,00017.371120,A2_24,0.018
,,00017.371120,A2_46,0.016
,,00017.371840,A2_32,0.015
,,00017.375040,A2_22,0.014
,,00017.375280,A2_21,0.022
,,00017.397280,A2_66,0.022
,,00017.406480,A2_33,0.018
,,00017.407920,A2_56,0.012
,,00017.409280,A2_33,0.023
,,00017.410240,A2_32,0.015
,,00017.422560,A2_33,0.021
,,00017.430960,A2_32,0.014
,,00017.442720,A2_66,0.014
,,00017.444560,A2_33,0.018
,,00017.445280,A2_22,0.016
,,00017.454400,A2_33,0.018
,,00017.463760,A2_33,0.02
,,00017.469840,A2_66,0.023
,,00017.484080,A2_24,0.017
,,00017.484880,A2_11,0.017
,,00017.497440,A2_66,0.016
,,00017.503920,A2_21,0.019
,,00017.515440,A2_46,0.017
,,00017.519680,A2_66,0.014
,,00017.520160,A2_33,0.014
,,00017.530480,A2_33,0.014
,,00017.534640,A2_11,0.018
,,00017.558720,A2_66,0.011
,,00017.571760,A2_33,0.015
,,00017.574960,A2_24,0.019
,,00017.577520,A2_33,0.014
,,00017.621360,A2_33,0.014
,,00017.647440,A2_33,0.02
,,00017.675200,A2_33,0.014
,,00017.702720,A2_24,0.031
,,00017.705120,A2_33,0.018
,,00017.739520,A2_33,0.016
,,00017.752880,A2_33,0.014
,,00017.771840,A2_33,0.017
,,00017.774160,A2_66,0.014
,,00017.785440,A2_31,0.013
,,00017.853040,A2_24,0.019
,,00017.876640,A2_33,0.014
,,00017.902320,A3_21,0.016
,,00017.908160,A2_33,0.013
,,00017.952640,A2_28,0.01
,,00017.966560,A2_33,0.013
,,00018.003440,A2_24,0.023
,,00018.013760,A2_46,0.015
,,00018.025760,A2_66,0.02
,,00018.030320,A2_33,0.017
,,00018.069520,A2_33,0.019
,,00018.160800,A2_33,0.012
,,00018.172640,A2_24,0.018
,,00018.306400,A2_66,0.016
,,00018.474400,A2_24,0.018
,,00018.503680,A2_33,0.015
,,00018.508000,A3_31,0.015
,,00018.582400,A2_33,0.015
,,00018.985520,A2_24,0.024
,,00019.510640,A2_21,0.021
,,00020.690800,B2_23,0.024
,,00020.713120,B2_23,0.018
,,00020.721600,B2_32,0.014
,,00020.722640,B2_23,0.023
,,00020.733360,B2_43,0.012
,,00020.736400,B2_23,0.025
,,00020.784480,B2_23,0.025
,,00020.820160,B2_23,0.024
,,00020.845200,B2_23,0.026
,,00020.903520,B2_32,0.013
,,00021.017760,B2_23,0.023
,,00021.101680,B2_23,0.022
,,00021.124960,B2_23,0.019
,,00021.195760,B2_23,0.023
,,00021.257200,B2_23,0.026
,,00021.303840,A3_31,0.016
,,00021.325120,B2_23,0.024
,,00021.379120,B2_32,0.012
,,00021.380080,B2_23,0.023
,,00021.423840,B2_23,0.024
,,00021.485120,A2_22,0.019
,,00021.511840,B2_23,0.022
,,00021.548240,A2_46,0.02
,,00021.573120,A2_24,0.024
,,00021.590480,A2_22,0.013
,,00021.626720,A2_66,0.021
,,00021.632800,B2_23,0.028
,,00021.694000,A2_21,0.025
,,00021.705520,A2_33,0.017
,,00021.716240,A2_24,0.025
,,00021.717440,A2_21,0.029
,,00021.717680,A2_66,0.022
,,00021.721600,A2_24,0.024
,,00021.724880,B2_23,0.021
,,00021.737040,A2_33,0.014
,,00021.743680,A2_21,0.023
,,00021.755600,A2_22,0.013
,,00021.761120,A2_33,0.018
,,00021.765760,A2_33,0.015
,,00021.766080,A2_56,0.015
,,00021.782240,A2_66,0.012
,,00021.782720,A2_24,0.022
,,00021.795600,A2_33,0.015
,,00021.815040,A2_22,0.013
,,00021.829360,A2_24,0.015
,,00021.832080,A2_33,0.015
,,00021.832880,A2_44,0.012
,,00021.850000,A2_66,0.017
,,00021.853360,A2_24,0.016
,,00021.855840,A2_33,0.019
,,00021.869760,A2_21,0.011
,,00021.872240,A2_21,0.02
,,00021.872800,A2_43,0.012
,,00021.877200,B2_32,0.013
,,00021.878240,B2_23,0.026
,,00021.892320,A2_66,0.017
,,00021.908880,A2_28,0.011
,,00021.911440,A2_33,0.017
,,00021.915840,A2_33,0.015
,,00021.917120,A2_12,0.019
,,00021.943680,A2_33,0.016
,,00021.946800,A2_66,0.019
,,00021.960880,A2_33,0.015
,,00021.968480,B2_23,0.024
,,00021.981600,A2_33,0.021
,,00021.995600,A2_66,0.018
,,00022.003920,A2_33,0.017
,,00022.062480,A2_33,0.015
,,00022.080240,A2_31,0.011
,,00022.086160,A2_32,0.015
,,00022.151200,A2_33,0.015
,,00022.175520,B2_32,0.014
,,00022.176640,B2_23,0.027
,,00022.193840,A2_33,0.013
,,00022.197760,A2_66,0.018
,,00022.230560,A2_33,0.014
,,00022.262640,A2_33,0.018
,,00022.337360,B2_32,0.015
,,00022.338480,B2_23,0.027
,,00022.350960,A2_46,0.017
,,00022.377680,A2_33,0.015
,,00022.421440,A2_33,0.013
,,00022.428080,B2_32,0.013
,,00022.429120,B2_23,0.027
,,00022.439360,A2_66,0.021
,,00022.580640,A2_33,0.018
,,00022.726560,A3_31,0.023
,,00022.864160,A2_33,0.014
,,00023.064800,A2_24,0.018
,,00024.117120,A2_21,0.025
,,00024.634960,A3_31,0.017
,,00025.660880,A2_46,0.009
,,00025.753040,A2_21,0.023
,,00026.084240,B2_32,0.017
,,00026.085440,B2_23,0.025
,,00026.094240,B2_32,0.013
,,00026.119280,B2_32,0.013
,,00026.120320,B2_23,0.021
,,00026.135920,B2_23,0.021
,,00026.154400,B2_32,0.012
,,00026.193840,B2_32,0.014
,,00026.219040,B2_23,0.021
,,00026.241920,B2_23,0.022
,,00026.298240,B2_23,0.024
,,00026.299440,A3_21,0.014
,,00026.339680,B2_23,0.02
,,00026.504800,B2_43,0.011
,,00026.514960,B2_23,0.02
,,00026.577440,A3_21,0.013
,,00026.581520,B2_23,0.023
,,00026.632880,B2_23,0.022
,,00026.759600,B2_23,0.021
,,00026.821760,B2_23,0.025
,,00026.937600,B2_32,0.013
,,00026.947200,A3_21,0.013
,,00027.047840,B2_32,0.013
,,00027.157120,A3_21,0.018
,,00027.392880,A3_31,0.02
,,00027.475440,A3_31,0.02
,,00027.568400,A3_21,0.011
,,00027.735680,B2_23,0.029
,,00027.744720,A2_21,0.02
,,00027.787200,B2_23,0.027
,,00027.851440,B2_32,0.012
,,00027.888320,A2_22,0.019
,,00027.888640,A2_11,0.03
,,00027.941040,B2_32,0.013
,,00027.947040,A2_24,0.023
,,00027.963440,A2_46,0.017
,,00027.977120,A2_11,0.016
,,00027.981520,A2_56,0.019
,,00027.983920,A2_66,0.026
,,00028.000000,A2_33,0.013
,,00028.016640,A2_22,0.012
,,00028.031360,A2_24,0.026
,,00028.045360,A2_28,0.009
,,00028.048320,A2_24,0.017
,,00028.052800,A2_33,0.017
,,00028.053600,A2_24,0.018
,,00028.059360,A2_66,0.02
,,00028.059520,A2_21,0.024
,,00028.059520,A2_22,0.011
,,00028.059680,A2_11,0.021
,,00028.063680,A2_24,0.026
,,00028.077680,A2_21,0.022
,,00028.084880,A2_22,0.012
,,00028.087040,A2_21,0.021
,,00028.088960,A2_28,0.011
,,00028.091520,A2_46,0.017
,,00028.097920,A2_66,0.022
,,00028.099120,A2_33,0.019
,,00028.105600,A2_24,0.021
,,00028.112320,A2_33,0.015
,,00028.118720,A2_22,0.018
,,00028.119840,A2_46,0.014
,,00028.129760,B2_23,0.029
,,00028.130080,A2_11,0.02
,,00028.130400,A2_33,0.016
,,00028.147440,A2_66,0.02
,,00028.153520,A2_33,0.014
,,00028.155840,A2_24,0.025
,,00028.160560,A2_33,0.016
,,00028.167360,A2_33,0.014
,,00028.171920,A2_33,0.023
,,00028.174320,B2_23,0.021
,,00028.174480,A2_24,0.027
,,00028.174720,A2_66,0.011
,,00028.190720,A2_22,0.013
,,00028.191120,A2_33,0.014
,,00028.194320,A2_66,0.02
,,00028.194960,A2_22,0.011
,,00028.196800,A2_66,0.013
,,00028.211200,A2_33,0.013
,,00028.226720,A2_43,0.012
,,00028.229280,A2_33,0.016
,,00028.252080,A2_33,0.011
,,00028.259360,A2_66,0.016
,,00028.260880,B2_32,0.012
,,00028.266160,A2_46,0.017
,,00028.280560,A2_33,0.013
,,00028.291440,A2_24,0.02
,,00028.308480,A2_33,0.02
,,00028.338720,A2_24,0.018
,,00028.347920,B2_23,0.027
,,00028.399200,A2_33,0.012
,,00028.404720,A2_33,0.017
,,00028.436560,A2_33,0.013
,,00028.440800,A2_33,0.014
,,00028.442160,A2_11,0.019
,,00028.471760,B2_32,0.013
,,00028.475040,A2_33,0.011
,,00028.484960,A2_33,0.014
,,00028.517360,A2_33,0.013
,,00028.534640,A2_33,0.014
,,00028.550640,A2_66,0.022
,,00028.551840,B2_23,0.025
,,00028.586560,A2_24,0.018
,,00028.634800,B2_23,0.022
,,00028.799040,A2_66,0.016
,,00028.872480,A2_22,0.013
,,00028.877520,A2_33,0.012
,,00028.943280,A2_33,0.016
,,00028.965360,A2_24,0.018
,,00029.110640,A2_33,0.012
,,00029.293280,A2_24,0.017
,,00029.326880,A2_24,0.018
,,00029.410160,B2_32,0.017
,,00029.411280,B2_23,0.023
,,00029.677680,B2_32,0.013
,,00029.678720,B2_23,0.027
,,00029.784160,B2_23,0.029
,,00030.232080,A2_24,0.019
,,00030.367920,A3_31,0.02
,,00030.419520,A2_21,0.022
,,00031.168880,A2_46,0.017
,,00031.191760,A3_31,0.016
,,00031.235280,A2_46,0.019
,,00031.674800,A2_22,0.02
,,00031.675920,A2_11,0.016
,,00031.746480,A2_24,0.018
,,00031.769040,A2_22,0.013
,,00031.810560,A2_66,0.025
,,00031.884160,A2_11,0.018
,,00031.899360,A2_33,0.02
,,00031.900400,A2_42,0.013
,,00031.909680,A2_66,0.027
,,00031.914000,A2_21,0.023
,,00031.916320,A2_22,0.018
,,00031.943040,A2_21,0.025
,,00031.947200,A2_33,0.024
,,00031.953920,A2_21,0.021
,,00031.954560,A2_33,0.02
,,00031.966080,A2_24,0.021
,,00031.967680,A2_33,0.012
,,00031.973600,A2_33,0.015
,,00031.976640,A2_66,0.023
,,00031.992400,A2_33,0.027
,,00032.026240,A2_24,0.017
,,00032.040880,A2_24,0.021
,,00032.045120,A2_28,0.009
,,00032.050320,A2_66,0.015
,,00032.083840,A2_33,0.022
,,00032.088000,A2_66,0.013
,,00032.112640,A2_33,0.019
,,00032.119600,A2_66,0.021
,,00032.126480,A2_24,0.02
,,00032.151280,A2_66,0.018
,,00032.168000,A2_33,0.017
,,00032.190880,A2_33,0.014
,,00032.234080,A2_33,0.015
,,00032.261360,B2_43,0.01
,,00032.264320,B2_32,0.014
,,00032.265360,B2_23,0.032
,,00032.275680,A2_33,0.016
,,00032.296080,A2_24,0.018
,,00032.310080,A2_33,0.018
,,00032.316320,B2_32,0.012
,,00032.317280,B2_23,0.029
,,00032.336080,A2_66,0.013
,,00032.367440,B2_23,0.024
,,00032.391280,B2_23,0.018
,,00032.413040,A2_33,0.013
,,00032.421520,A2_33,0.012
,,00032.424400,A2_24,0.02
,,00032.456240,A2_33,0.013
,,00032.477840,B2_32,0.014
,,00032.478800,B2_23,0.022
,,00032.489120,A2_33,0.016
,,00032.518640,B2_23,0.018
,,00032.547360,A2_46,0.015
,,00032.548000,B2_32,0.014
,,00032.592080,A2_66,0.02
,,00032.679600,A2_33,0.013
,,00032.720800,A2_33,0.014
,,00032.750640,B2_32,0.011
,,00032.751600,B2_23,0.031
,,00032.758080,A2_33,0.015
,,00032.966000,A2_33,0.012
,,00032.995600,B2_23,0.034
,,00033.300240,B2_32,0.014
,,00033.301440,B2_23,0.025
,,00033.491280,B2_32,0.015
,,00033.504880,A2_24,0.018
,,00033.520000,A2_24,0.018
,,00033.548960,A2_46,0.014
,,00033.727120,B2_32,0.013
,,00033.728240,B2_23,0.023
,,00034.180880,B2_32,0.016
,,00034.182000,B2_23,0.024
,,00034.423440,A2_21,0.022
,,00035.432000,A3_21,0.013
,,00035.536080,A3_21,0.017
,,00035.537440,A3_31,0.017
,,00035.574240,A3_26,0.013
,,00035.765360,A2_22,0.019
,,00035.850880,A2_22,0.013
,,00035.854400,A2_24,0.019
,,00035.880560,A2_66,0.023
,,00035.943360,A2_28,0.012
,,00035.947200,A2_46,0.009
,,00035.947360,A2_43,0.014
,,00035.956240,A2_21,0.028
,,00035.964560,A2_66,0.024
,,00035.982560,A2_21,0.022
,,00035.996720,A2_33,0.017
,,00036.022080,A2_33,0.012
,,00036.027600,A2_33,0.018
,,00036.031920,A2_66,0.012
,,00036.049680,A2_33,0.016
,,00036.052880,A2_21,0.016
,,00036.072880,A2_21,0.028
,,00036.091040,A2_24,0.023
,,00036.111600,A2_66,0.025
,,00036.117680,A2_24,0.018
,,00036.124720,A2_21,0.014
,,00036.140160,A2_11,0.022
,,00036.142640,A2_66,0.013
,,00036.163840,A2_22,0.017
,,00036.172560,A2_66,0.02
,,00036.172960,A2_33,0.015
,,00036.197840,A2_33,0.014
,,00036.199680,A2_46,0.015
,,00036.208800,A2_66,0.015
,,00036.239520,A2_33,0.017
,,00036.350560,A2_33,0.013
,,00036.379280,A2_66,0.015
,,00036.380320,A2_33,0.014
,,00036.459120,A2_33,0.013
,,00036.545520,A2_33,0.014
,,00036.581680,A2_24,0.02
,,00036.616400,A2_66,0.014
,,00036.634720,A2_46,0.018
,,00036.700640,A2_21,0.015
,,00036.799440,A2_33,0.012
,,00036.880640,A2_33,0.015
,,00036.914800,A2_33,0.014
,,00036.956400,A2_66,0.018
,,00036.966560,A2_33,0.015
,,00037.114560,A2_24,0.021
,,00037.146080,A2_33,0.015
,,00037.439840,A2_33,0.013
,,00038.381840,A2_13,0.016
,,00038.676640,A2_21,0.023
,,00039.362400,A2_46,0.017
,,00039.444320,A3_26,0.018
,,00039.480960,A3_31,0.015
,,00039.489440,A3_26,0.017
,,00040.216960,A2_22,0.019
,,00040.218000,A2_11,0.023
,,00040.330080,A2_24,0.016
,,00040.341600,A2_24,0.02
,,00040.349360,A2_22,0.015
,,00040.371840,A2_66,0.018
,,00040.394720,A2_24,0.019
,,00040.404560,A2_33,0.015
,,00040.410880,A2_46,0.016
,,00040.428080,A2_22,0.012
,,00040.437840,A2_21,0.022
,,00040.443520,A2_33,0.025
,,00040.460400,A2_66,0.023
,,00040.465920,A2_21,0.022
,,00040.467280,A2_24,0.016
,,00040.473440,A2_33,0.014
,,00040.494800,A2_33,0.018
,,00040.501840,A2_21,0.018
,,00040.529760,A2_66,0.021
,,00040.548640,A2_33,0.014
,,00040.555280,A2_21,0.027
,,00040.565520,A2_33,0.014
,,00040.571840,A2_33,0.018
,,00040.593440,A2_28,0.011
,,00040.598800,A2_66,0.021
,,00040.598880,A2_33,0.014
,,00040.608880,A2_21,0.019
,,00040.616160,A2_44,0.013
,,00040.638400,A2_66,0.022
,,00040.654640,A2_21,0.016
,,00040.661440,A2_33,0.019
,,00040.665360,A2_66,0.015
,,00040.695520,A2_66,0.016
,,00040.748560,A2_33,0.016
,,00040.764880,A2_33,0.022
,,00040.793040,A2_33,0.014
,,00040.858480,A2_33,0.013
,,00040.929840,A2_66,0.014
,,00040.945840,A2_33,0.015
,,00040.951840,A2_24,0.02
,,00041.114560,A2_33,0.015
,,00041.159120,A2_24,0.02
,,00041.216240,A2_66,0.016
,,00041.460480,A2_33,0.013
,,00041.478240,A2_24,0.016
,,00041.538800,A2_33,0.015
,,00041.578320,A2_24,0.019
,,00042.913520,A2_21,0.022
,,00043.289440,A3_31,0.014
,,00043.959760,B2_23,0.022
,,00043.982160,B2_23,0.023
,,00043.994800,B2_32,0.022
,,00044.029040,A2_21,0.024
,,00044.096640,B2_43,0.01
,,00044.171200,A2_21,0.021
,,00044.483120,B2_23,0.021
,,00044.515360,B2_32,0.015
,,00044.516320,B2_23,0.022
,,00044.612800,B2_32,0.014
,,00044.712080,B2_23,0.022
,,00044.771840,B2_23,0.022
,,00044.829440,B2_32,0.013
,,00045.088480,B2_23,0.023
,,00045.196480,B2_23,0.021
,,00045.265600,B2_23,0.029
,,00045.788240,A3_31,0.015
,,00045.984800,B2_23,0.023
,,00046.279520,B2_23,0.024
,,00046.373600,A2_21,0.025
,,00046.381120,B2_23,0.032
,,00046.444320,B2_23,0.022
,,00046.537360,B2_32,0.015
,,00046.634800,A2_46,0.021
,,00047.109280,A2_22,0.016
,,00047.110560,A2_11,0.024
,,00047.157760,A2_24,0.018
,,00047.188480,A2_11,0.023
,,00047.189200,A2_22,0.012
,,00047.191440,A2_56,0.015
,,00047.193280,A2_33,0.016
,,00047.196560,A2_66,0.025
,,00047.229680,A2_24,0.021
,,00047.238640,A2_21,0.027
,,00047.245760,A2_31,0.013
,,00047.252720,A2_46,0.015
,,00047.255920,A2_66,0.024
,,00047.261680,A2_21,0.024
,,00047.272000,A2_21,0.016
,,00047.272400,A2_33,0.018
,,00047.294080,A2_66,0.022
,,00047.295360,A2_56,0.017
,,00047.307440,A2_33,0.017
,,00047.311920,A2_33,0.024
,,00047.329120,B2_32,0.014
,,00047.330080,B2_23,0.024
,,00047.335840,A2_66,0.015
,,00047.345600,A2_11,0.02
,,00047.350960,A2_23,0.015
,,00047.355520,A2_12,0.022
,,00047.364080,A2_22,0.017
,,00047.371040,A2_24,0.016
,,00047.374320,A2_21,0.022
,,00047.377120,A2_66,0.029
,,00047.377680,A2_33,0.015
,,00047.383920,A2_24,0.019
,,00047.396560,A2_66,0.014
,,00047.397440,A2_22,0.014
,,00047.400480,A2_33,0.018
,,00047.412320,A2_33,0.015
,,00047.424000,A2_33,0.015
,,00047.427200,A2_44,0.012
